Srid,Coord Ref Sys Name,Coord Sys Id,Source Geog Srid,Projection Conv Id,Information Source,Data Source
"2,035",NAD27(CGQ77) / UTM zone 21N,"4,400","4,609","16,021","",EPSG
"2,036",NAD83(CSRS98) / New Brunswick Stereo,"4,500","4,140","19,946",Service New Brunswick Land and Information Standards Manual,EPSG
"2,037",NAD83(CSRS98) / UTM zone 19N,"4,400","4,140","16,019",Service New Brunswick Land and Information Standards Manual,EPSG
"2,038",NAD83(CSRS98) / UTM zone 20N,"4,400","4,140","16,020",Service New Brunswick Land and Information Standards Manual,EPSG
"2,039",Israel / Israeli TM Grid,"4,400","4,141","18,204",Survey of Israel.,EPSG
"2,040",Locodjo 1965 / UTM zone 30N,"4,400","4,142","16,030",IGN Paris,EPSG
"2,041",Abidjan 1987 / UTM zone 30N,"4,400","4,143","16,030",IGN Paris,EPSG
"2,042",Locodjo 1965 / UTM zone 29N,"4,400","4,142","16,029",IGN Paris,EPSG
"2,043",Abidjan 1987 / UTM zone 29N,"4,400","4,143","16,029",IGN Paris,EPSG
"2,102",Lake / Maracaibo Grid,"4,499","4,249","18,261",Various oil company sources.,EPSG
"2,103",Lake / Maracaibo Grid M3,"4,499","4,249","18,262",Various oil company sources.,EPSG
"2,104",Lake / Maracaibo La Rosa Grid,"4,499","4,249","18,263",Various oil company sources.,EPSG
"2,105",NZGD2000 / Mount Eden Circuit 2000,"4,500","4,167","17,931",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,106",NZGD2000 / Bay of Plenty Circuit 2000,"4,500","4,167","17,932",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,107",NZGD2000 / Poverty Bay Circuit 2000,"4,500","4,167","17,933",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,108",NZGD2000 / Hawkes Bay Circuit 2000,"4,500","4,167","17,934",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,109",NZGD2000 / Taranaki Circuit 2000,"4,500","4,167","17,935",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,110",NZGD2000 / Tuhirangi Circuit 2000,"4,500","4,167","17,936",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,111",NZGD2000 / Wanganui Circuit 2000,"4,500","4,167","17,937",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,112",NZGD2000 / Wairarapa Circuit 2000,"4,500","4,167","17,938",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,113",NZGD2000 / Wellington Circuit 2000,"4,500","4,167","17,939",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,114",NZGD2000 / Collingwood Circuit 2000,"4,500","4,167","17,940",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,115",NZGD2000 / Nelson Circuit 2000,"4,500","4,167","17,941",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,116",NZGD2000 / Karamea Circuit 2000,"4,500","4,167","17,942",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,117",NZGD2000 / Buller Circuit 2000,"4,500","4,167","17,943",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,118",NZGD2000 / Grey Circuit 2000,"4,500","4,167","17,944",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,119",NZGD2000 / Amuri Circuit 2000,"4,500","4,167","17,945",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,120",NZGD2000 / Marlborough Circuit 2000,"4,500","4,167","17,946",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,121",NZGD2000 / Hokitika Circuit 2000,"4,500","4,167","17,947",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,122",NZGD2000 / Okarito Circuit 2000,"4,500","4,167","17,948",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,123",NZGD2000 / Jacksons Bay Circuit 2000,"4,500","4,167","17,949",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,124",NZGD2000 / Mount Pleasant Circuit 2000,"4,500","4,167","17,950",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,125",NZGD2000 / Gawler Circuit 2000,"4,500","4,167","17,951",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,126",NZGD2000 / Timaru Circuit 2000,"4,500","4,167","17,952",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,127",NZGD2000 / Lindis Peak Circuit 2000,"4,500","4,167","17,953",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,128",NZGD2000 / Mount Nicholas Circuit 2000,"4,500","4,167","17,954",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,129",NZGD2000 / Mount York Circuit 2000,"4,500","4,167","17,955",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,130",NZGD2000 / Observation Point Circuit 2000,"4,500","4,167","17,956",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,131",NZGD2000 / North Taieri Circuit 2000,"4,500","4,167","17,957",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,132",NZGD2000 / Bluff Circuit 2000,"4,500","4,167","17,958",Land Information New Zealand OSG Technical Report 8; 16 April 1999.,EPSG
"2,133",NZGD2000 / UTM zone 58S,"4,400","4,167","16,158","",EPSG
"2,134",NZGD2000 / UTM zone 59S,"4,400","4,167","16,159","",EPSG
"2,135",NZGD2000 / UTM zone 60S,"4,400","4,167","16,160","",EPSG
"2,136",Accra / Ghana National Grid,"4,404","4,168","19,959",Ordnance Survey International,EPSG
"2,137",Accra / TM 1 NW,"4,400","4,168","17,001",Various oil industry sources,EPSG
"2,138",NAD27(CGQ77) / Quebec Lambert,"4,499","4,609","19,944",Service de la Cartographie; Ministere des Ressources Naturelles; Quebec,EPSG
"2,139",NAD83(CSRS98) / SCoPQ zone 2,"4,499","4,140","17,700",Topographic Mapping Section; Quebec Ministry of Natural Resources.,EPSG
"2,140",NAD83(CSRS98) / MTM zone 3,"4,496","4,140","17,703",Topographic Mapping Section; Quebec Ministry of Natural Resources.,EPSG
"2,141",NAD83(CSRS98) / MTM zone 4,"4,496","4,140","17,704",Topographic Mapping Section; Quebec Ministry of Natural Resources.,EPSG
"2,142",NAD83(CSRS98) / MTM zone 5,"4,496","4,140","17,705",Topographic Mapping Section; Quebec Ministry of Natural Resources.,EPSG
"2,143",NAD83(CSRS98) / MTM zone 6,"4,496","4,140","17,706",Topographic Mapping Section; Quebec Ministry of Natural Resources.,EPSG
"2,144",NAD83(CSRS98) / MTM zone 7,"4,496","4,140","17,707",Topographic Mapping Section; Quebec Ministry of Natural Resources.,EPSG
"2,145",NAD83(CSRS98) / MTM zone 8,"4,496","4,140","17,708",Topographic Mapping Section; Quebec Ministry of Natural Resources.,EPSG
"2,146",NAD83(CSRS98) / MTM zone 9,"4,496","4,140","17,709",Topographic Mapping Section; Quebec Ministry of Natural Resources.,EPSG
"2,147",NAD83(CSRS98) / MTM zone 10,"4,496","4,140","17,710",Topographic Mapping Section; Quebec Ministry of Natural Resources.,EPSG
"2,148",NAD83(CSRS98) / UTM zone 21N,"4,400","4,140","16,021",Geomatics Canada.,EPSG
"2,149",NAD83(CSRS98) / UTM zone 18N,"4,400","4,140","16,018",Geomatics Canada.,EPSG
"2,150",NAD83(CSRS98) / UTM zone 17N,"4,400","4,140","16,017",Geomatics Canada.,EPSG
"2,151",NAD83(CSRS98) / UTM zone 13N,"4,400","4,140","16,013",Geomatics Canada.,EPSG
"2,152",NAD83(CSRS98) / UTM zone 12N,"4,400","4,140","16,012",Geomatics Canada.,EPSG
"2,153",NAD83(CSRS98) / UTM zone 11N,"4,400","4,140","16,011",Geomatics Canada.,EPSG
"2,154",RGF93 / Lambert-93,"4,499","4,171","18,085",IGN - Paris,EPSG
"2,157",IRENET95 / Irish Transverse Mercator,"4,400","4,173","19,962",Ordnance Survey of Ireland,EPSG
"2,158",IRENET95 / UTM zone 29N,"4,400","4,173","16,029",Ordnance Survey of Ireland,EPSG
"2,159",Sierra Leone 1924 / New Colony Grid,"4,404","4,174","19,963",Ordnance Survey International,EPSG
"2,160",Sierra Leone 1924 / New War Office Grid,"4,404","4,174","19,964",Ordnance Survey International,EPSG
"2,161",Sierra Leone 1968 / UTM zone 28N,"4,400","4,175","16,028",Ordnance Survey International,EPSG
"2,162",Sierra Leone 1968 / UTM zone 29N,"4,400","4,175","16,029",Ordnance Survey International,EPSG
"2,164",Locodjo 1965 / TM 5 NW,"4,400","4,142","17,005",Various oil industry sources,EPSG
"2,165",Abidjan 1987 / TM 5 NW,"4,400","4,143","17,005",Various oil industry sources,EPSG
"2,166",Pulkovo 1942(83) / Gauss Kruger zone 3,"4,530","4,178","16,263",EuroGeographics; http://crs.ifag.de/,EPSG
"2,167",Pulkovo 1942(83) / Gauss Kruger zone 4,"4,530","4,178","16,264",Bundesamt fur Kartographie und Geodasie via EuroGeographics; http://crs.ifag.de/,EPSG
"2,168",Pulkovo 1942(83) / Gauss Kruger zone 5,"4,530","4,178","16,265",Bundesamt fur Kartographie und Geodasie via EuroGeographics; http://crs.ifag.de/,EPSG
"2,169",Luxembourg 1930 / Gauss,"4,530","4,181","19,966",Administration du Cadastre et de la Topographie via EuroGeographics; http://crs.ifag.de/,EPSG
"2,170",MGI / Slovenia Grid,"4,530","4,312","19,967","",EPSG
"2,171",Pulkovo 1942(58) / Poland zone I,"4,530","4,179","18,281",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.ifag.de/,EPSG
"2,172",Pulkovo 1942(58) / Poland zone II,"4,530","4,179","18,282",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.ifag.de/,EPSG
"2,173",Pulkovo 1942(58) / Poland zone III,"4,530","4,179","18,283",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.ifag.de/,EPSG
"2,174",Pulkovo 1942(58) / Poland zone IV,"4,530","4,179","18,284",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.ifag.de/,EPSG
"2,175",Pulkovo 1942(58) / Poland zone V,"4,530","4,179","18,285",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.ifag.de/,EPSG
"2,176",ETRS89 / Poland CS2000 zone 5,"4,531","4,258","18,305",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.ifag.de/,EPSG
"2,177",ETRS89 / Poland CS2000 zone 6,"4,531","4,258","18,306",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.ifag.de/,EPSG
"2,178",ETRS89 / Poland CS2000 zone 7,"4,531","4,258","18,307",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.ifag.de/,EPSG
"2,179",ETRS89 / Poland CS2000 zone 8,"4,531","4,258","18,308",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.ifag.de/,EPSG
"2,180",ETRS89 / Poland CS92,"4,531","4,258","18,300",Glowny Urzad Geodezji i Kartografii via EuroGeographics; http://crs.ifag.de/,EPSG
"2,188",Azores Occidental 1939 / UTM zone 25N,"4,400","4,182","16,025",Instituto Geografico e Cadastral Lisbon via EuroGeographics; http://crs.ifag.de/,EPSG
"2,189",Azores Central 1948 / UTM zone 26N,"4,400","4,183","16,026",Instituto Geografico e Cadastral Lisbon via EuroGeographics; http://crs.ifag.de/,EPSG
"2,190",Azores Oriental 1940 / UTM zone 26N,"4,400","4,184","16,026",Instituto Geografico e Cadastral Lisbon via EuroGeographics; http://crs.ifag.de/,EPSG
"2,191",Madeira 1936 / UTM zone 28N,"4,400","4,185","16,028",Instituto Geografico e Cadastral Lisbon via EuroGeographics; http://crs.ifag.de/,EPSG
"2,192",ED50 / France EuroLambert,"4,499","4,230","18,086",IGN Paris via EuroGeographics; http://crs.ifag.de/,EPSG
"2,193",NZGD2000 / New Zealand Transverse Mercator,"4,500","4,167","19,971",Shell Todd Oil Services.,EPSG
"2,194",American Samoa 1962 / American Samoa Lambert,"4,497","4,169","15,301",US National Geodetic Survey (NGS)  http://www.ngs.noaa.gov/,EPSG
"2,195",NAD83(HARN) / UTM zone 2S,"4,400","4,152","16,102",US National Geodetic Survey (NGS)  http://www.ngs.noaa.gov/,EPSG
"2,196",ETRS89 / Kp2000 Jutland,"4,400","4,258","18,401",Kort & Matrikelstyrelsen,EPSG
"2,197",ETRS89 / Kp2000 Zealand,"4,400","4,258","18,402",Kort & Matrikelstyrelsen,EPSG
"2,198",ETRS89 / Kp2000 Bornholm,"4,400","4,258","18,403",Kort & Matrikelstyrelsen,EPSG
"2,199",Albanian 1987 / Gauss Kruger zone 4,"4,530","4,191","16,204",EuroGeographics; http://crs.ifag.de/,EPSG
"2,200",ATS77 / New Brunswick Stereographic (ATS77),"4,500","4,122","19,945",New Brunswick Geographic Information Corporation land and water information standards manual.,EPSG
"2,201",REGVEN / UTM zone 18N,"4,400","4,189","16,018","",EPSG
"2,202",REGVEN / UTM zone 19N,"4,400","4,189","16,019","",EPSG
"2,203",REGVEN / UTM zone 20N,"4,400","4,189","16,020","",EPSG
"2,204",NAD27 / Tennessee,"4,497","4,267","15,302","",EPSG
"2,205",NAD83 / Kentucky North,"4,499","4,269","15,303","",EPSG
"2,206",ED50 / 3-degree Gauss-Kruger zone 9,"4,530","4,230","16,269",EPSG,EPSG
"2,207",ED50 / 3-degree Gauss-Kruger zone 10,"4,530","4,230","16,270",EPSG,EPSG
"2,208",ED50 / 3-degree Gauss-Kruger zone 11,"4,530","4,230","16,271",EPSG,EPSG
"2,209",ED50 / 3-degree Gauss-Kruger zone 12,"4,530","4,230","16,272",EPSG,EPSG
"2,210",ED50 / 3-degree Gauss-Kruger zone 13,"4,530","4,230","16,273",EPSG,EPSG
"2,211",ED50 / 3-degree Gauss-Kruger zone 14,"4,530","4,230","16,274",EPSG,EPSG
"2,212",ED50 / 3-degree Gauss-Kruger zone 15,"4,530","4,230","16,275",EPSG,EPSG
"2,213",ETRS89 / TM 30 NE,"4,400","4,258","16,430","",EPSG
"2,214",Douala 1948 / AOF west,"4,400","4,192","18,415","",EPSG
"2,215",Manoca 1962 / UTM zone 32N,"4,400","4,193","16,032","",EPSG
"2,216",Qornoq 1927 / UTM zone 22N,"4,400","4,194","16,022","Kort & Matrikelstyrelsen, Copenhagen.",EPSG
"2,217",Qornoq 1927 / UTM zone 23N,"4,400","4,194","16,023","Kort & Matrikelstyrelsen, Copenhagen.",EPSG
"2,218",Scoresbysund 1952 / Greenland zone 5 east,"4,501","4,195","18,425","Kort & Matrikelstyrelsen, Copenhagen.",EPSG
"2,219",ATS77 / UTM zone 19N,"4,400","4,122","16,019",New Brunswick Geographic Information Corporation land and water information standards manual.,EPSG
"2,220",ATS77 / UTM zone 20N,"4,400","4,122","16,020",New Brunswick Geographic Information Corporation land and water information standards manual.,EPSG
"2,221",Scoresbysund 1952 / Greenland zone 6 east,"4,501","4,195","18,426","Kort & Matrikelstyrelsen, Copenhagen.",EPSG
"2,222",NAD83 / Arizona East (ft),"4,495","4,269","15,304",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,223",NAD83 / Arizona Central (ft),"4,495","4,269","15,305",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,224",NAD83 / Arizona West (ft),"4,495","4,269","15,306",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,225",NAD83 / California zone 1 (ftUS),"4,497","4,269","15,307",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,226",NAD83 / California zone 2 (ftUS),"4,497","4,269","15,308",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,227",NAD83 / California zone 3 (ftUS),"4,497","4,269","15,309",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,228",NAD83 / California zone 4 (ftUS),"4,497","4,269","15,310",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,229",NAD83 / California zone 5 (ftUS),"4,497","4,269","15,311",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,230",NAD83 / California zone 6 (ftUS),"4,497","4,269","15,312",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,231",NAD83 / Colorado North (ftUS),"4,497","4,269","15,313",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,232",NAD83 / Colorado Central (ftUS),"4,497","4,269","15,314",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,233",NAD83 / Colorado South (ftUS),"4,497","4,269","15,315",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,234",NAD83 / Connecticut (ftUS),"4,497","4,269","15,316",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,235",NAD83 / Delaware (ftUS),"4,497","4,269","15,317",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,236",NAD83 / Florida East (ftUS),"4,497","4,269","15,318",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,237",NAD83 / Florida West (ftUS),"4,497","4,269","15,319",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,238",NAD83 / Florida North (ftUS),"4,497","4,269","15,320",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,239",NAD83 / Georgia East (ftUS),"4,497","4,269","15,321",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,240",NAD83 / Georgia West (ftUS),"4,497","4,269","15,322",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,241",NAD83 / Idaho East (ftUS),"4,497","4,269","15,323",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,242",NAD83 / Idaho Central (ftUS),"4,497","4,269","15,324",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,243",NAD83 / Idaho West (ftUS),"4,497","4,269","15,325",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,244",NAD83 / Indiana East (ftUS),"4,497","4,269","15,326",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,245",NAD83 / Indiana West (ftUS),"4,497","4,269","15,327",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,246",NAD83 / Kentucky North (ftUS),"4,497","4,269","15,328",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,247",NAD83 / Kentucky South (ftUS),"4,497","4,269","15,329",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,248",NAD83 / Maryland (ftUS),"4,497","4,269","15,330",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,249",NAD83 / Massachusetts Mainland (ftUS),"4,497","4,269","15,331",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,250",NAD83 / Massachusetts Island (ftUS),"4,497","4,269","15,332",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,251",NAD83 / Michigan North (ft),"4,495","4,269","15,333",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,252",NAD83 / Michigan Central (ft),"4,495","4,269","15,334",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,253",NAD83 / Michigan South (ft),"4,495","4,269","15,335",National Geodetic Survey  http://www.ngs.noaa.gov/INFO/Policy/st_plane.html,EPSG
"2,044",Hanoi 1972 / Gauss-Kruger zone 18,"4,530","4,147","16,218","",EPSG
"2,045",Hanoi 1972 / Gauss-Kruger zone 19,"4,530","4,147","16,219","",EPSG
"2,046",Hartebeesthoek94 / Lo15,"6,503","4,148","17,515",Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm,EPSG
"2,047",Hartebeesthoek94 / Lo17,"6,503","4,148","17,517",Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm,EPSG
"2,048",Hartebeesthoek94 / Lo19,"6,503","4,148","17,519",Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm,EPSG
"2,049",Hartebeesthoek94 / Lo21,"6,503","4,148","17,521",Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm,EPSG
"2,050",Hartebeesthoek94 / Lo23,"6,503","4,148","17,523",Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm,EPSG
"2,051",Hartebeesthoek94 / Lo25,"6,503","4,148","17,525",Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm,EPSG
"2,052",Hartebeesthoek94 / Lo27,"6,503","4,148","17,527",Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm,EPSG
"2,053",Hartebeesthoek94 / Lo29,"6,503","4,148","17,529",Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm,EPSG
"2,054",Hartebeesthoek94 / Lo31,"6,503","4,148","17,531",Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm,EPSG
"2,055",Hartebeesthoek94 / Lo33,"6,503","4,148","17,533",Directorate of Surveys and Mapping; http://w3sli.wcape.gov.za/surveys/mapping/wgs84.htm,EPSG
"2,056",CH1903+ / LV95,"4,498","4,150","19,950","",EPSG
"2,057",Rassadiran / Nakhl e Taqi,"4,400","4,153","19,951",Total-Fina,EPSG
"2,058",ED50(ED77) / UTM zone 38N,"4,400","4,154","16,038","",EPSG
"2,059",ED50(ED77) / UTM zone 39N,"4,400","4,154","16,039","",EPSG
"2,060",ED50(ED77) / UTM zone 40N,"4,400","4,154","16,040","",EPSG
"2,061",ED50(ED77) / UTM zone 41N,"4,400","4,154","16,041","",EPSG
"2,062",Madrid 1870 (Madrid) / Spain,"4,499","4,903","19,921","",EPSG
"2,063",Dabola 1981 / UTM zone 28N,"4,400","4,315","16,028","",EPSG
"2,064",Dabola 1981 / UTM zone 29N,"4,400","4,315","16,029","",EPSG
"2,065",S-JTSK (Ferro) / Krovak,"6,501","4,818","19,952",Research Institute for Geodesy Topography and Cartography (VUGTK); Prague.,EPSG
