Fclt Organization Key,Organization Id,Organization,Organization Name,Fclt Org Parent Key,Org Parent,Fclt Major Org Key,Major Org,Organization Level,Organization Number,Organization Sort,Assignable,Course,Description,Warehouse Load Date,Dlc Key,Dlc Name,Hr Department Code Old,Hr Org Unit Id,Hr Department Name
143,143,CTL,C FOR TRANSP LOG,230,S ENG,PROVST,069500,5,069500,0101060066,1,"","",01/08/16 05:13 AM,D_CTL,Center for Transportation & Logistics,069500,10000350,Center for Transportation & Logistics
144,144,D-GRAD,DEAN-GRAD STU,129,CHNCLR,CHNCLR,402200,4,402200,0101030100,1,"","",01/08/16 05:13 AM,D_DEANGRAD,Dean Of The Grad School Office,402200,10000613,Ofc of the Dean for Graduate Education
145,145,DCM,DIV OF COMP MED,230,VP-RES,PROVST,402100,5,402100,0101060213,1,"","",01/08/16 05:13 AM,D_COMPMED,Division Of Comparative Medicine,402100,10000612,Division of Comparative Medicine
146,146,DIBNER,DIBNER INSTITUTE,217,OTHNON,OTHNON,401100,4,401100,0101031506,1,"","",01/08/16 05:13 AM,D_DIBNER,Dibner Institute,401100,10000596,Dibner Institute
147,147,DINING,CAMPUS DINING,129,DSL,CHNCLR,801000,5,801000,0101030304,1,"","",01/08/16 05:13 AM,D_DINING,Campus Dining,801000,10000889,Dining
148,148,DIRLIB,DIR OF LIBRARIES,230,PROVST,PROVST,270000,4,270000,0101060015,1,"","",01/08/16 05:13 AM,D_LIBRARIES,Libraries,"","",""
149,149,DOF,DP OF FACILITIES,163,DOFADM,EXECVP,591000,5,591000,0101030624,0,"","",01/08/16 05:13 AM,D_FACILITIES,Department of Facilities,591000,10000853,Department of Facilities
150,150,DOFADM,DP OF FACIL ADM,163,EXECVP,EXECVP,592000,4,591040,0101030621,1,"","",01/08/16 05:13 AM,D_FACILITIES,Department of Facilities,591040,10002459,Facilities Administration
150,150,DOFADM,DP OF FACIL ADM,163,EXECVP,EXECVP,592000,4,591040,0101030621,1,"","",01/08/16 05:13 AM,D_FACILITIES,Department of Facilities,591040,10002461,Facilities Dev Design Eng & Construction
151,151,DSL,DEAN-STU LIFE,129,CHNCLR,CHNCLR,442000,4,442000,0101030300,1,"","",01/08/16 05:13 AM,D_DSL:HQ,Dean for Student Life - Headquarters,442000,10000745,Dean for Student Life
152,152,DUE,DEAN-UNDERGRD ED,129,CHNCLR,CHNCLR,441000,4,441000,0101030400,1,"","",01/08/16 05:13 AM,D_DUE:HQ,DUE HQ,441000,10000722,Dean for Undergraduate Education
153,153,EA&PS,EARTH ATMO&PL SC,230,S SCI,PROVST,153000,5,153000,0101060183,1,12,"",01/08/16 05:13 AM,D_EAPS,"Earth, Atmospheric & Planetary Sciences",153000,10000527,"Earth, Atmospheric &  Planetary Sciences"
154,154,ECONOM,ECONOMICS,230,S H&SS,PROVST,091000,5,091000,0101060141,1,14,"",01/08/16 05:13 AM,D_ECO,Economics,091000,10000359,Economics
155,155,EDGCTR,EDGERTON CENTER,129,DUE,CHNCLR,440100,5,440100,0101030406,1,"","",01/08/16 05:13 AM,D_EDGERTON,Edgerton Center,440100,10000721,Edgerton Center
156,156,EE&CS,ELEC ENG&COMP SC,230,S ENG,PROVST,064000,5,064000,0101060084,1,6,"",01/08/16 05:13 AM,D_EECS,Electrical Engineering & Computer Science,064000,10000322,Electrical Engineering-Computer Science
157,157,EHS,ENV HLTH & SAFE,163,EXECVP,EXECVP,392000,4,392000,0101030631,1,"","",01/08/16 05:13 AM,D_EHSO,"Environment, Health and Safety Office",392000,10000591,"Environment, Health & Safety Office"
158,158,EI,ENERGY INITIATIV,230,VP-RES,PROVST,320000,5,320000,0101060216,1,"","",01/08/16 05:13 AM,D_LFEE,MIT Energy Initiative,320000,10000582,MIT Energy Initiative
159,159,ENDCTT,ENDICOTT HOUSE,129,ENTSVC,CHNCLR,872500,6,872500,0101030312,1,"","",01/08/16 05:13 AM,D_ENDICOTT,Endicott House,872500,10000912,Endicott House
160,160,ENTSVC,ENTERPRISE SERVICES,129,DSL,CHNCLR,406200,5,406200,0101030308,1,"","",01/08/16 05:13 AM,D_ENTSRVCS,Enterprise Services,406200,10000648,Enterprise Services
161,161,ESDHQ,ENG SYS DIV HQTR,230,S ENG,PROVST,068100,5,068100,0101060087,1,ESD,"",01/08/16 05:13 AM,D_IDSS,"Institute for Data, Systems, and Society",068100,10000333,"Institute for Data, Systems, and Society"
162,162,ESTDY,EXPER STUDY GRP,129,DUE,CHNCLR,159000,5,159000,0101030407,1,"","",01/08/16 05:13 AM,D_ESG,Experimental Study Group,159000,10000541,Experimental Study Group
163,163,EXECVP,EXEC VICE PRES,163,PRES,EXECVP,404500,3,404500,0101030600,1,"","",01/08/16 05:13 AM,D_EXECVP,Executive Vice President's Office,404500,10000622,Executive Vice President and Treasurer
164,164,F CLUB,FACULTY CLUB,129,DINING,CHNCLR,873000,6,801000,0101030305,1,"","",01/08/16 05:13 AM,D_DINING,Campus Dining,801000,10000889,Dining
165,165,FBML,F BITTER MAG LAB,230,VP-RES,PROVST,265000,5,265000,0101060219,1,"","",01/08/16 05:13 AM,D_MAGLAB,Francis Bitter Magnet Laboratory,265000,10000576,Francis Bitter Magnet Laboratory
166,166,FINANC,OFF OF BUDGT&FIN,163,EXECVP,EXECVP,427000,4,427000,0101030640,1,"","",01/08/16 05:13 AM,D_OBFP,Office of Budget & Financial Planning,427000,10000705,Budget and Financial Analysis
167,167,FOR L&L,FOREIGN LANGUAGE & LITERATURE,230,S H&SS,PROVST,093300,5,093300,0101060142,1,21F,"",01/08/16 05:13 AM,D_FLL,Foreign Languages & Literature,093300,10000362,Global Studies and Languages
168,168,FSS,FINANC SYS SVCS,163,IS&T,EXECVP,421200,5,421200,0101030638,1,"","",01/08/16 05:13 AM,D_IS&T,Information Services and Technology,421200,10000682,Financial Systems Services
169,169,HAYSTK,HAYSTACK OBS,230,VP-RES,PROVST,401710,5,401710,0101060222,1,"","",01/08/16 05:13 AM,D_HAYSTACK,Haystack Observatory,401710,10000601,Haystack Observatory
170,170,HHMI,HH MEDICAL INST,271,ZORG,ZORG,"",4,"",0101120006,1,"","",01/08/16 05:13 AM,D_HHMI,Howard Hughes Medical Institute,"","",""
171,171,HIST,HISTORY,230,S H&SS,PROVST,093400,5,093400,0101060143,1,21H,"",01/08/16 05:13 AM,D_HISTORY,History,093400,10000363,History Section
172,172,HMNRES,HUMAN RESOURCES,163,VP-HUM,EXECVP,409000,5,409000,0101030663,1,"","",01/08/16 05:13 AM,D_HR,Human Resources Department,409000,10000653,Human Resources
174,174,HUMAN,HUMANITIES,230,S H&SS,PROVST,093000,5,090000,0101060144,1,21,"",01/08/16 05:13 AM,D_DHSS,Dean of Humanities & Social Sciences,090000,10000357,"School of Humanities, Arts, & Social Sci"
175,175,IMES,INST MED E & SCI,230,S ENG,PROVST,061901,5,061901,0101060093,1,IMES,Institute For Medical Engineering & Science,01/08/16 05:13 AM,D_IMES,Institute for Medical Engineering and Science,061901,10004284,Institute for Medical Eng. and Science
176,176,INSTPF,INST PROFESSORS,271,ZORG,ZORG,010000,4,010000,0101120009,1,"","",01/08/16 05:13 AM,D_INST_PROF,Institute Professors,010000,10000265,Institute Professors
177,177,INVEST,INVEST MGMT CO,163,EXECVP,EXECVP,420000,4,420000,0101030639,1,"","",01/08/16 05:13 AM,D_MITIMCO,MIT Investment Management Company,420000,10000673,MIT Investment Management Company
178,178,IPC,IND PERFORM CTR,230,S ENG,PROVST,060300,5,060300,0101060090,1,"","",01/08/16 05:13 AM,D_NUCENG,Nuclear Science and Engineering,060300,10000292,Industrial Performance Center
179,179,IS&T,INFO SVCS & TECH,163,EXECVP,EXECVP,404400,4,404400,0101030637,1,"","",01/08/16 05:13 AM,D_IS&T,Information Services and Technology,404400,10000621,"HQ, Information Systems & Technology"
180,180,ISN,INST SLDR NANOTECH,230,VP-RES,PROVST,417000,5,417000,0101060223,1,"","",01/08/16 05:13 AM,D_ISN,Institute for Soldier Nanotechnologies,417000,10000933,Institute for Soldier Nanotechnologies
181,181,KAVLI,K I FOR AST&SP R,230,S SCI,PROVST,159600,5,159600,0101060187,1,"","",01/08/16 05:13 AM,D_CSR,Kavli Institute for Astrophysics & Space Research,159600,10000544,Kavli Inst for Astrophysics & Space Rsrh
182,182,KIICR,KOCH INS INT C R,230,S SCI,PROVST,159700,5,402000,0101060188,1,"","",01/08/16 05:13 AM,D_KI,Koch Institute for Integrative Cancer Research,402000,10000545,Koch Inst - Integrative Cancer Research
183,183,LCS,LAB FOR COMP SC,230,S ENG,PROVST,068600,5,068600,0101060096,1,"","",01/08/16 05:13 AM,D_CSAIL,Computer Sciences and Artificial Intelligence Lab,"","",""
184,184,LE&ES,LAB FOR E&E SYS,230,RLE,PROVST,069300,6,069300,0101060235,1,"","",01/08/16 05:13 AM,D_RLE,Research Lab Of Electronics,069300,10000348,Lab for Electromagnetic Electronic Sys
186,186,LGO-SDM,LDRS GBL OPS-SYS DSN MGMT,230,S ENG,PROVST,170000,5,170000,0101060108,1,"",Leaders for Global Operations-Systems Design Management,01/08/16 05:13 AM,D_LGO,Leaders for Global Operations,170000,10000554,Leaders for Global Operations Program
187,187,LI&DS,LAB INFO&DEC SYS,230,S ENG,PROVST,068700,5,068700,0101060105,1,"","",01/08/16 05:13 AM,D_LIDS,Laboratory for Information & Decision Systems,068700,10000338,Lab for Information & Decision Systems
188,188,LI&PHL,LING & PHIL,230,S H&SS,PROVST,094000,5,094000,0101060147,1,24,"",01/08/16 05:13 AM,D_L&P,Linguistics & Philosophy,094000,10000367,Linguistics & Philosophy
189,189,LIBRAR,LIBRARIES,230,DIRLIB,PROVST,271000,5,271000,0101060018,1,"","",01/08/16 05:13 AM,D_LIBRARIES,Libraries,271000,10000579,Libraries
190,190,LICENC,TECH LICENSE OFF,230,APROV,PROVST,404000,5,404000,0101060004,1,"","",01/08/16 05:13 AM,D_TLO,Techology Licensing Office,404000,10000618,Technology Licensing Office
191,191,LINCLB,LINCOLN LAB,230,VP-RES,PROVST,310000,5,310000,0101060260,1,"","",01/08/16 05:13 AM,D_LINCOLN,Lincoln Laboratory,310000,10000581,Lincoln Laboratory
192,192,LIST,LIST VIS ART CTR,230,APRART,PROVST,401812,5,401812,0101060009,1,"","",01/08/16 05:13 AM,D_LVA,List Visual Arts Center,401812,10000605,List Visual Arts Center
193,193,LIT,LITERATURE,230,S H&SS,PROVST,093600,5,093600,0101060148,1,21L,"",01/08/16 05:13 AM,D_LIT,Literature,093600,10000364,Literature Section
194,194,LM&P,LAB FOR MFG&PROD,230,MECH,PROVST,069700,6,069700,0101060122,1,"","",01/08/16 05:13 AM,D_MECHE,Mechanical Engineering,069700,10000352,Lab for Manufacturing & Productivity
195,195,LNS,LAB FOR NUCL SCI,230,S SCI,PROVST,159900,5,159900,0101060189,1,"","",01/08/16 05:13 AM,D_LNS,Laboratory for Nuclear Science,159900,10000547,Laboratory for Nuclear Science
196,196,M&T ART,MUSIC & THEATER ART,230,S H&SS,PROVST,093700,5,093700,0101060149,1,21M,"",01/08/16 05:13 AM,D_MTA,Music & Theater Arts,093700,10000365,Music and Theater Arts Section
197,197,MATH,MATHEMATICS,230,S SCI,PROVST,154000,5,154000,0101060192,1,18,"",01/08/16 05:13 AM,D_MATHS,Mathematics,154000,10000533,Mathematics
198,198,MATPRO,MATS PROC CTR,230,S ENG,PROVST,069800,5,069800,0101060111,1,"","",01/08/16 05:13 AM,D_MPC,Materials Processing Center,069800,10000353,Materials Processing Center
199,199,MECH,MECHANICAL ENG,230,S ENG,PROVST,065000,5,065000,0101060120,1,2,"",01/08/16 05:13 AM,D_MECHE,Mechanical Engineering,065000,10000324,Mechanical Engineering
200,200,MEDIA,MEDIA LABORATORY,230,SAP,PROVST,039000,5,039000,0101060045,1,"","",01/08/16 05:13 AM,D_MEDIA,Media Lab,039000,10000277,Media Laboratory
201,201,MEDICL,MEDICAL DEPT,163,VP-HUM,EXECVP,495000,5,495000,0101030667,1,"","",01/08/16 05:13 AM,D_MEDICAL,MIT Medical Department,495000,10000792,Medical
203,203,MIBR,MCGOVERN INSTITUTE,230,OFPROV,PROVST,400600,5,400600,0101060026,1,"","",01/08/16 05:13 AM,D_MCGOVERN,McGovern Institute for Brain Research,400600,10000593,McGovern Institute for Brain Research
204,204,MS&E,MATS SCI & ENG,230,S ENG,PROVST,066000,5,066000,0101060114,1,3,"",01/08/16 05:13 AM,D_DMSE,Dept Material Science and Engineering,066000,10000325,Materials Science and Engineering
205,205,MTL,MICROSYSTEMS LAB,230,S ENG,PROVST,060600,5,060600,0101060124,1,"","",01/08/16 05:13 AM,D_MTL,Microsystems Technology Laboratory,060600,10000294,Microsystems Technology Laboratories
206,206,MUSEUM,MIT MUSEUM,230,APRART,PROVST,401811,5,401811,0101060012,1,"","",01/08/16 05:13 AM,D_MUSEUM,MIT Museum,401811,10000604,Museum
207,207,NRL,NUCL REACTOR LAB,230,VP-RES,PROVST,264000,5,264000,0101060226,1,"","",01/08/16 05:13 AM,D_NRL,Nuclear Reactor Laboratory,264000,10000575,Nuclear Reactor Laboratory
208,208,NSE,NUCLEAR SCI & ENG,230,S ENG,PROVST,068000,5,068000,0101060126,1,22,"",01/08/16 05:13 AM,D_NUCENG,Nuclear Science and Engineering,068000,10000331,Nuclear Science and Engineering
209,209,OEI&T,OFF ED IN & TECH,129,DUE,CHNCLR,447100,5,447100,0101030408,1,"","",01/08/16 05:13 AM,D_OEIT,"Office of Education, Innovation and Technology",447100,10002734,"ODL, Strategic Education Initiatives"
210,210,OFPRES,OFF OF PRESIDENT,210,PRES,OFPRES,401000,4,401000,0101030900,1,"","",01/08/16 05:13 AM,D_PRESIDENT,Office of President / Chairman,401000,10000595,Office of the President
211,211,OFPROV,OFF OF PROVOST,230,PROVST,PROVST,401800,4,401800,0101060024,1,"","",01/08/16 05:13 AM,D_PROVOST,Provost's Office,401800,10000603,Office of the Provost
212,212,OFS,OFF FACULTY SUPPORT,129,DUE,CHNCLR,445000,5,445000,0101030409,1,"","",01/08/16 05:13 AM,D_OFS,Office of Faculty Support,445000,10002635,Office of Faculty Support
213,213,OME,OFF OF MINR EDUC,129,DUE,CHNCLR,441100,5,441100,0101030415,1,"","",01/08/16 05:13 AM,D_OME,Office of Minority Education,441100,10000728,Office of Minority Education
215,215,OSP,SPONSORED PGMS,163,EXECVP,EXECVP,391000,4,391000,0101030654,1,"","",01/08/16 05:13 AM,D_OSP,Office of Sponsored Programs,391000,10000590,Office of Sponsored Programs
216,216,OTHMIT,OTHER MIT,216,PRES,OTHMIT,"",3,"",0101031200,1,"","",01/08/16 05:13 AM,D_UNDEF,Undefined - no DLC,"","",""
217,217,OTHNON,OTHER NON-MIT,217,PRES,OTHNON,"",3,"",0101031500,1,"","",01/08/16 05:13 AM,D_UNDEF,Undefined - no DLC,"","",""
218,218,PARK&T,PARKING & TRANSP,163,DOFADM,EXECVP,405900,5,405900,0101030625,1,"","",01/08/16 05:13 AM,D_PARKING,Parking and Transportation,405900,10000641,Parking and Transportation Office
219,219,PHYSIC,PHYSICS,230,S SCI,PROVST,158000,5,158000,0101060195,1,8,"",01/08/16 05:13 AM,D_PHYSICS,Physics,158000,10000536,Physics
220,220,PI,PROFNL INSTITUTE,230,S ENG,PROVST,061500,5,061500,0101060130,1,"","",01/08/16 05:13 AM,D_PI,Professional Institute,061500,10000929,Professional Institute
221,221,PILM,PICOWER INSTITUTE,230,S SCI,PROVST,159300,5,159300,0101060196,1,"","",01/08/16 05:13 AM,D_PILM,Picower Institute for Learning & Memory,159300,10000542,Picower Institute for Learning & Memory
222,222,POLICE,CAMPUS POLICE,163,EXECVP,EXECVP,492900,4,492900,0101030609,1,"","",01/08/16 05:13 AM,D_POLICE,MIT Police,492900,10000791,MIT POLICE
223,223,POLSCI,POLITICAL SCI,230,S H&SS,PROVST,095500,5,095500,0101060150,1,17,"",01/08/16 05:13 AM,D_POLSCI,Political Science,095500,10000368,Political Science
224,224,PRES,PRESIDENT,224,ALL,PRES,"",2,"",0101000000,1,"","",01/08/16 05:13 AM,D_PRESIDENT,Office of President / Chairman,"","",""
225,225,PRESS,MIT PRESS,230,DIRLIB,PROVST,875000,5,875000,0101060021,1,"","",01/08/16 05:13 AM,D_PRESS,MIT Press,875000,10000919,MIT Press
226,226,PRHSE,PRESIDENTS HOUSE,163,EXECVP,EXECVP,497400,4,497400,0101030645,1,"","",01/08/16 05:13 AM,D_GRAY,Gray House,497400,10000803,Gray House
227,227,PROCUR,PROCUREMENT,163,VP-FIN,EXECVP,426000,5,407030,0101030616,1,"","",01/08/16 05:13 AM,D_PROCURE,Procurement Office,407030,10003487,Sourcing and Procurement
228,228,PROPTY,PROPERTY OFFICE,163,VP-FIN,EXECVP,406800,5,406800,0101030616,1,"","",01/08/16 05:13 AM,D_PROPERTY,Property Office,406800,10000651,Property Office
229,229,PRORES,PROVOST RESERVE,216,OTHMIT,OTHMIT,010100,4,591024,0101031203,1,"","",01/08/16 05:13 AM,D_PROVOST,Provost's Office,591024,10002466,Facilities Misc
230,230,PROVST,PROVOST,230,PRES,PROVST,"",3,401800,0101060000,1,"","",01/08/16 05:13 AM,D_PROVOST,Provost's Office,401800,10000603,Office of the Provost
231,231,PSFC,PLASMA SCI FSN CTR,230,VP-RES,PROVST,243000,5,243000,0101060231,1,"","",01/08/16 05:13 AM,D_PSFC,Plasma Sciences & Fusion Center,243000,10000569,Plasma Science and Fusion Center
232,232,PUBSVC,PUBLIC REL SVCS,267,VP-SCP,VP-SCP,490000,4,490000,0101090006,1,"","",01/08/16 05:13 AM,D_VP_SEC_CORP,VP and Secretary of the Corporation,490000,10000789,Institute Affairs
233,233,REGIST,REGISTRAR,129,DUE,CHNCLR,446700,5,446700,0101030417,1,"","",01/08/16 05:13 AM,D_REG,Registrar,446700,10000760,Registrar's Office
234,234,RESDEV,RESOURCE DEVLMNT,163,VP-DEV,EXECVP,411000,5,410000,0101030681,1,"","",01/08/16 05:13 AM,D_RESDEV,Vice President for Resource Development,410000,10000658,Vice Pres for Resource Development
235,235,RESDOF,RESIDENCE DOF,129,RLSLAD,CHNCLR,861400,6,591030,0101030324,0,"","",01/08/16 05:13 AM,D_DOF_RESIDENCE,Facilities Residences,591030,10004859,Central Utilities Plant area
235,235,RESDOF,RESIDENCE DOF,129,RLSLAD,CHNCLR,861400,6,591030,0101030324,0,"","",01/08/16 05:13 AM,D_DOF_RESIDENCE,Facilities Residences,591030,10002465,Utilities
236,236,RESIDE,CAMPUS RESIDENCE,129,RLSLAD,CHNCLR,861000,6,861000,0101030318,1,"","",01/08/16 05:13 AM,D_HOUSING,Housing,861000,10000894,Housing
237,237,RLE,RES LAB OF ELEC,230,VP-RES,PROVST,267000,5,267000,0101060234,1,"","",01/08/16 05:13 AM,D_RLE,Research Lab Of Electronics,267000,10000578,Research Laboratory of Electronics
238,238,RLSLAD,RLSLP ADMIN,129,DSL,CHNCLR,441300,5,441300,0101030315,1,"","",01/08/16 05:13 AM,D_SLP,Student Life Programs,441300,10000730,Student Life Programs
240,240,ROTC-A,ROTC-AEROSPACE,129,DUE,CHNCLR,187100,5,187100,0101030418,1,"","",01/08/16 05:13 AM,D_ROTC,ROTC area,187100,10000556,Aerospace Studies
241,241,ROTC-M,ROTC-MILITARY SC,129,DUE,CHNCLR,187500,5,187500,0101030421,1,"","",01/08/16 05:13 AM,D_ROTC,ROTC area,187500,10000557,Military Science
242,242,ROTC-N,ROTC-NAVAL SC,129,DUE,CHNCLR,187800,5,187800,0101030424,1,"","",01/08/16 05:13 AM,D_ROTC,ROTC area,187800,10000558,Naval Science
